"","passive","c1","c2","c3","part_id","sent_id"
"233",0,-0.25,0.666666666666667,0,480,55
"234",0,-0.25,0.666666666666667,0,1248,55
"235",0,-0.25,0.666666666666667,0,928,59
"236",0,-0.25,0.666666666666667,0,0,59
"237",0,-0.25,0.666666666666667,0,1024,59
"238",0,-0.25,0.666666666666667,0,1152,59
"239",0,-0.25,0.666666666666667,0,288,59
"240",0,-0.25,0.666666666666667,0,256,59
"241",0,-0.25,0.666666666666667,0,320,59
"242",0,-0.25,0.666666666666667,0,672,59
"243",0,-0.25,0.666666666666667,0,480,59
"244",0,-0.25,0.666666666666667,0,448,59
"245",0,-0.25,0.666666666666667,0,992,59
"246",0,-0.25,0.666666666666667,0,704,59
"247",0,-0.25,0.666666666666667,0,576,59
"248",0,-0.25,0.666666666666667,0,1088,59
"249",0,-0.25,0.666666666666667,0,736,59
"250",0,-0.25,0.666666666666667,0,896,59
"251",0,-0.25,0.666666666666667,0,64,59
"252",0,-0.25,0.666666666666667,0,1248,59
"253",0,0.75,0,0,928,63
"254",0,0.75,0,0,0,63
"255",0,0.75,0,0,1024,63
"256",0,0.75,0,0,480,63
"257",0,0.75,0,0,288,63
"258",0,0.75,0,0,704,63
"259",0,0.75,0,0,1248,63
"260",0,0.75,0,0,320,63
"261",0,0.75,0,0,1152,63
"262",0,0.75,0,0,736,63
"263",0,0.75,0,0,1088,63
"264",0,0.75,0,0,256,63
"265",0,0.75,0,0,448,63
"266",0,0.75,0,0,576,63
"267",0,0.75,0,0,672,63
"268",0,0.75,0,0,992,63
"269",0,0.75,0,0,896,63
"270",0,0.75,0,0,64,63
"271",0,-0.25,-0.333333333333333,0.5,1024,67
"272",0,-0.25,-0.333333333333333,0.5,320,67
"273",0,-0.25,-0.333333333333333,0.5,928,67
"274",0,-0.25,-0.333333333333333,0.5,704,67
"275",0,-0.25,-0.333333333333333,0.5,992,67
"276",0,-0.25,-0.333333333333333,0.5,480,67
"277",0,-0.25,-0.333333333333333,0.5,0,67
"278",0,-0.25,-0.333333333333333,0.5,448,67
"279",0,-0.25,-0.333333333333333,0.5,896,67
"280",0,-0.25,-0.333333333333333,0.5,672,67
"281",0,-0.25,-0.333333333333333,0.5,736,67
"282",0,-0.25,-0.333333333333333,0.5,1248,67
"283",0,-0.25,-0.333333333333333,0.5,576,67
"284",0,-0.25,-0.333333333333333,0.5,1088,67
"285",0,-0.25,-0.333333333333333,0.5,1152,67
