"","X","model","prime_type","prop_passive","se_passive","n","train","reanalysis","sd","giveup"
"101",101,"wd","amv",0.0311355311355311,0.00743980243355613,546,"train1.0","start","sdnormal-0.35-1.0","giveup100"
"102",102,"wd","urc",0.0750915750915751,0.0112887725697624,546,"train1.0","start","sdnormal-0.35-1.0","giveup100"
"103",103,"wd","prog_rrc",0.0586080586080586,0.0100615677252788,546,"train1.0","start","sdnormal-0.35-1.0","giveup100"
"104",104,"wd","rrc",0.0586080586080586,0.0100615677252788,546,"train1.0","start","sdnormal-0.35-1.0","giveup100"
"105",105,"wd2","amv",0.027027027027027,0.0109082074702105,222,"train1.0","start","sdnormal-0.35-1.0","giveup100"
"106",106,"wd2","urc",0.027027027027027,0.0109082074702105,222,"train1.0","start","sdnormal-0.35-1.0","giveup100"
"107",107,"wd2","prog_rrc",0.0405405405405405,0.0132666705704041,222,"train1.0","start","sdnormal-0.35-1.0","giveup100"
"108",108,"wd2","rrc",0.0765765765765766,0.0178876084534169,222,"train1.0","start","sdnormal-0.35-1.0","giveup100"
"109",109,"ep","amv",0.0013745704467354,0.000686930739432812,2910,"train0.0","uncertainty1","sduniform-0.2-0.5","giveup100"
"110",110,"ep","urc",0.0271477663230241,0.00301313528134454,2910,"train0.0","uncertainty1","sduniform-0.2-0.5","giveup100"
"111",111,"ep","prog_rrc",0.0178694158075601,0.00245622379556096,2910,"train0.0","uncertainty1","sduniform-0.2-0.5","giveup100"
"112",112,"ep","rrc",0.302749140893471,0.00851851962193191,2910,"train0.0","uncertainty1","sduniform-0.2-0.5","giveup100"
"113",113,"wd","amv",0.0161744022503516,0.00193158427478503,4266,"train0.0","uncertainty1","sduniform-0.2-0.5","giveup100"
"114",114,"wd","urc",0.0417252695733708,0.00306185821382173,4266,"train0.0","uncertainty1","sduniform-0.2-0.5","giveup100"
"115",115,"wd","prog_rrc",0.214955461790905,0.00629016260992976,4266,"train0.0","uncertainty1","sduniform-0.2-0.5","giveup100"
"116",116,"wd","rrc",0.349742147210502,0.00730225964601967,4266,"train0.0","uncertainty1","sduniform-0.2-0.5","giveup100"
"117",117,"wd2","amv",0.0157367668097282,0.00192198925216896,4194,"train0.0","uncertainty1","sduniform-0.2-0.5","giveup100"
"118",118,"wd2","urc",0.0400572246065808,0.00302831235782583,4194,"train0.0","uncertainty1","sduniform-0.2-0.5","giveup100"
"119",119,"wd2","prog_rrc",0.231759656652361,0.00651635961032908,4194,"train0.0","uncertainty1","sduniform-0.2-0.5","giveup100"
"120",120,"wd2","rrc",0.340486409155937,0.00731811675888958,4194,"train0.0","uncertainty1","sduniform-0.2-0.5","giveup100"
"121",121,"ep","amv",0.000648508430609598,0.000458490333024391,3084,"train0.0","uncertainty1","sduniform-0.2-0.5","giveup1000"
"122",122,"ep","urc",0.0398832684824903,0.00352428180446961,3084,"train0.0","uncertainty1","sduniform-0.2-0.5","giveup1000"
"123",123,"ep","prog_rrc",0.0168612191958495,0.00231880986082056,3084,"train0.0","uncertainty1","sduniform-0.2-0.5","giveup1000"
"124",124,"ep","rrc",0.295071335927367,0.00821389854472791,3084,"train0.0","uncertainty1","sduniform-0.2-0.5","giveup1000"
"125",125,"wd","amv",0.0159598723210214,0.001892501846107,4386,"train0.0","uncertainty1","sduniform-0.2-0.5","giveup1000"
"126",126,"wd","urc",0.0437756497948016,0.00308966505732275,4386,"train0.0","uncertainty1","sduniform-0.2-0.5","giveup1000"
"127",127,"wd","prog_rrc",0.19858641130871,0.00602446264682174,4386,"train0.0","uncertainty1","sduniform-0.2-0.5","giveup1000"
"128",128,"wd","rrc",0.337437300501596,0.00714044431241809,4386,"train0.0","uncertainty1","sduniform-0.2-0.5","giveup1000"
"129",129,"wd2","amv",0.0175312199807877,0.00203405290006965,4164,"train0.0","uncertainty1","sduniform-0.2-0.5","giveup1000"
"130",130,"wd2","urc",0.0417867435158501,0.00310132404066946,4164,"train0.0","uncertainty1","sduniform-0.2-0.5","giveup1000"
"131",131,"wd2","prog_rrc",0.217579250720461,0.00639478153915782,4164,"train0.0","uncertainty1","sduniform-0.2-0.5","giveup1000"
"132",132,"wd2","rrc",0.33597502401537,0.00732052956250327,4164,"train0.0","uncertainty1","sduniform-0.2-0.5","giveup1000"
"133",133,"ep","amv",0.0712301587301587,0.00362337955288838,5040,"train0.0","uncertainty1","sdnormal-0.35-1.0","giveup100"
"134",134,"ep","urc",0.113095238095238,0.00446157783349368,5040,"train0.0","uncertainty1","sdnormal-0.35-1.0","giveup100"
"135",135,"ep","prog_rrc",0.105555555555556,0.00432857607039137,5040,"train0.0","uncertainty1","sdnormal-0.35-1.0","giveup100"
"136",136,"ep","rrc",0.274206349206349,0.00628453510426479,5040,"train0.0","uncertainty1","sdnormal-0.35-1.0","giveup100"
"137",137,"wd","amv",0.047669868374244,0.00284190101098547,5622,"train0.0","uncertainty1","sdnormal-0.35-1.0","giveup100"
"138",138,"wd","urc",0.0786197082888652,0.00358986718028341,5622,"train0.0","uncertainty1","sdnormal-0.35-1.0","giveup100"
"139",139,"wd","prog_rrc",0.168267520455354,0.00498982351716577,5622,"train0.0","uncertainty1","sdnormal-0.35-1.0","giveup100"
"140",140,"wd","rrc",0.239594450373533,0.00569317093452843,5622,"train0.0","uncertainty1","sdnormal-0.35-1.0","giveup100"
"141",141,"wd2","amv",0.0284043441938179,0.0024010624269465,4788,"train0.0","uncertainty1","sdnormal-0.35-1.0","giveup100"
"142",142,"wd2","urc",0.0543024227234754,0.00327532219059933,4788,"train0.0","uncertainty1","sdnormal-0.35-1.0","giveup100"
"143",143,"wd2","prog_rrc",0.152673350041771,0.00519846754404761,4788,"train0.0","uncertainty1","sdnormal-0.35-1.0","giveup100"
"144",144,"wd2","rrc",0.220551378446115,0.00599262250831677,4788,"train0.0","uncertainty1","sdnormal-0.35-1.0","giveup100"
"145",145,"ep","amv",0.0733413269384492,0.00368569189507535,5004,"train0.0","uncertainty1","sdnormal-0.35-1.0","giveup1000"
"146",146,"ep","urc",0.117106314948042,0.00454599664959659,5004,"train0.0","uncertainty1","sdnormal-0.35-1.0","giveup1000"
